Field                                 County                               Depth                                Cumm PROD                            Gravity             
************************************************************************************************************************************************************************************
WILDCAT                               00002001                             99999                                17207                                0                   
A.W.P. (OLMOS)                        00256500 MCMULLEN                    9800                                 45734567                             38                  
A.W.P. (WALES)                        00256600 MCMULLEN                    6130                                 46037                                48                  
A.W.P. (WILCOX)                       00256700 MCMULLEN                    6658                                 1682                                 38                  
A.W.P. (WILCOX 62                     00256750 MCMULLEN                    6192                                 51608                                34                  
ACEITUNA (HARPER SD.)                 00434333 DIMMIT                      4032                                 11390                                49                  
ACEITUNA (OLMOS)                      00434666 DIMMIT                      4205                                 120231                               37                  
ACLETO CREEK (POTH SAND)              00467500 WILSON                      3068                                 307370                               54                  
ACLETO CREEK (POTH A)                 00467505 WILSON                      2838                                 878237                               48                  
ACLETO CREEK (POTH B)                 00467510 WILSON                      2881                                 423997                               35                  
ACLETO CREEK (POTH C)                 00467515 WILSON                      2915                                 207572                               40                  
ADAMS (BUDA)                          00621200 MEDINA                      1822                                 427345                               28                  
ADAMS (NAVARRO, UPPER)                00621333 MEDINA                      382                                  48561                                22                  
ADDISON (NAVARRO)                     00748500 BASTROP                     4474                                 161                                  43                  
ALAMO, S. (OLMOS-BOOTH)               01057500 MCMULLEN                    9768                                 1329                                 56                  
ALDERMAN (AUSTIN)                     01313500 GUADALUPE                   1949                                 1738                                 23                  
ALLIGATOR SLOUGH (BRACERO)            01780300 ZAVALA                      3589                                 1653                                 29                  
ALLIGATOR SLOUGH (ELAINE)             01780500 ZAVALA                      3691                                 532995                               27                  
ALTA VISTA                            02031001 BEXAR                       1100                                 75970                                12                  
AMMANN (BUDA)                         02396500 DIMMIT                      5900                                 152861                               38                  
ANCHORAGE                             02564001 ATASCOSA                    2298                                 87573                                47                  
ANDERSON RANCH (SAN MIGUEL)           02663500 ZAVALA                      552                                  1688                                 60                  
ANDY BROWN (BUDA)                     02769200 WILSON                      5305                                 29784                                19                  
ARBUCKLE (AUSTIN CHALK)               03375500 BASTROP                     1749                                 306                                  24                  
ARNOLD-WELDON (B-2)                   03806200 MCMULLEN                    3481                                 232062                               27                  
ARNOLD-WELDON (WALES SAND)            03806400 MCMULLEN                    5406                                 190339                               40                  
ARNOLD-WELDON (WRIGHT)                03806600 MCMULLEN                    5886                                 550331                               36                  
ARNOLD-WELDON (WRIGHT S SEG)          03806800 MCMULLEN                    5938                                 563212                               38                  
ARROYO NEGRO (AUSTIN CHALK)           03946500 ZAVALA                      6589                                 7073                                 33                  
ASHERTON (OLMOS 3-A)                  04078666 DIMMIT                      3322                                 613                                  40                  
ASHERTON,E. (OLMOS 45                 04079530 DIMMIT                      4533                                 1727                                 48                  
ASHERTON, E. (OLMOS 46                04079540 DIMMIT                      4601                                 60326                                36                  
ATLEE (OLMOS)                         04300500 LA SALLE                    7210                                 9777                                 45                  
AUSTIN PIERCE (AUSTIN CHALK)          04462333 GONZALES                    10856                                247982                               43                  
AUSTIN PIERCE (EDWARDS LIME)          04462666 GONZALES                    11558                                62731                                38                  
B B B (OLMOS A)                       04668500 DIMMIT                      3714                                 98756                                37                  
BBJ (WILCOX 57                        04680700 MCMULLEN                    5782                                 173443                               45                  
BBJ, N. (WILCOX 57                    04681700 MCMULLEN                    5779                                 158188                               45                  
